iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,ABW,0,0,0,0,0,0,0,0,5.2253146,5.2253146,25.093539308357236,23.047227681011087
ABW,AFG,0,0,0,0,0,0,0,0,13257.814,13257.814,13168.223762353515,13166.366934129957
ABW,AGO,0,0,0,0,0,0,0,0,9516.913,9516.913,9587.315562719727,9584.19341525607
ABW,AIA,0,0,1,0,0,0,0,0,983.26825,983.26825,976.897355102539,976.891579922752
ABW,ALB,0,0,0,0,0,0,0,0,9091.742,9091.742,9091.575726782226,9091.465814945797
ABW,AND,0,1,0,0,0,0,0,0,7572.788,7572.788,7570.083550927734,7570.083099679045
ABW,ANT,0,1,1,0,1,0,0,1,136.3848,136.3848,239.90638031082153,142.85829464130325
ABW,ARE,0,0,0,0,0,0,0,0,12735.012,12735.012,12773.079713549805,12772.94847387724
ABW,ARG,0,1,0,0,0,0,0,0,5396.2197,5396.2197,5187.787570410156,5157.1261564857905
ABW,ARM,0,0,0,0,0,0,0,0,11107.783,11107.783,11106.958379418946,11106.756120213291
ABW,ATG,0,0,1,0,0,0,0,0,1024.9948,1024.9948,1011.002649658203,1010.3828075874924
ABW,AUS,0,0,1,0,0,0,0,0,15237.495,15354.32,15670.458954541014,15638.095496909073
ABW,AUT,0,0,0,0,0,0,0,0,8719.13,8719.13,8632.970802661133,8631.02218346681
ABW,AZE,0,0,0,0,0,0,0,0,11502.997,11502.997,11421.978854418945,11420.910650167827
ABW,BDI,0,0,0,0,0,0,0,0,11120.469,11120.469,11138.7448046875,11138.609643163922
ABW,BEL,0,1,1,0,0,0,0,0,7847.0703,7847.0703,7843.255153808594,7843.006470252354
ABW,BEN,0,0,0,0,0,0,0,0,7979.9453,8006.6973,7915.637507421875,7915.21371305264
ABW,BFA,0,0,0,0,0,0,0,0,7414.016,7414.016,7348.568277832031,7346.228356525467
ABW,BGD,0,0,0,0,0,0,0,0,15473.457,15473.457,15486.159529736327,15485.498661421781
ABW,BGR,0,0,0,0,0,0,0,0,9348.039,9348.039,9471.462071435546,9469.653841768244
ABW,BHR,0,0,0,0,0,0,0,0,12308.359,12308.359,12296.98976064453,12296.990133853003
ABW,BHS,0,0,1,0,0,0,0,0,1588.5146,1588.5146,1634.5150023406982,1628.1433615473259
ABW,BIH,0,0,0,0,0,0,0,0,8936.664,8936.664,8888.420460766602,8887.930947327963
ABW,BLR,0,0,0,0,0,0,0,0,9382.626,9382.626,9417.682534326172,9415.660296565356
ABW,BLZ,0,1,1,0,0,0,0,0,2076.2158,2076.2158,2062.0714080688476,2061.4825153400084
ABW,BMU,0,0,1,0,0,0,0,0,2263.7866,2263.7866,2275.4324295715332,2275.412786404655
ABW,BOL,0,1,0,0,0,0,0,0,3240.2312,3560.6838,3366.75844039917,3353.8668294793515
ABW,BRA,0,0,0,0,0,0,0,0,4759.608,3988.9146,4431.571174792481,4272.204097669214
ABW,BRB,0,0,1,0,0,0,0,0,1139.2405,1139.2405,1127.651754345703,1127.6152672337514
ABW,BRN,0,0,0,0,0,0,0,0,18008.871,18008.871,18042.748672265625,18042.711876057965
ABW,BTN,0,0,0,0,0,0,0,0,15070.868,15070.868,15106.37494501953,15106.246865578078
ABW,BWA,0,0,1,0,0,0,0,0,11196.276,11196.276,11178.826039916992,11177.605251960958
ABW,CAF,0,0,0,0,0,0,0,0,9771.96,9771.96,9729.20073876953,9725.599502705867
ABW,CAN,0,0,1,0,0,0,0,0,3573.8872,3696.783,4316.013140930176,4100.322827335161
ABW,CCK,0,0,1,0,0,0,0,0,18614.29,18614.29,,
ABW,CHE,0,0,0,0,0,0,0,0,8056.332,8056.332,8074.210134375,8073.510307809616
ABW,CHL,0,1,0,0,0,0,0,0,5125.68,5125.68,5093.852147924805,5028.640948278135
ABW,CHN,0,0,0,0,0,0,0,0,14155.351,14155.351,14590.924327246094,14560.27646835766
ABW,CIV,0,0,0,0,0,0,0,0,7293.8833,7124.6274,7194.495679577636,7192.190070257488
ABW,CMR,0,0,1,0,0,0,0,0,9014.291,9014.291,8947.104119604492,8944.591493683482
ABW,COG,0,0,0,0,0,0,0,0,9613.901,9613.901,9476.8911015625,9474.113294444194
